"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"fig|6666666.77655.peg.1017",1423.12121083691,-0.921752549750805,0.187187997312052,-4.92420755062728,8.47028989420694e-07,1.65898568474819e-05
"fig|6666666.77655.peg.1018",444.49682597583,0.246187347962203,0.223241896252943,1.10278290990353,0.270121451492794,0.532804468050695
"fig|6666666.77655.peg.1019",72.6368042316983,-0.899122761284079,0.346065772559407,-2.59812680876937,0.00937338713409637,0.0487532812140655
"fig|6666666.77655.peg.102",23.0430599333387,0.735027004062813,0.5119616412292,1.43570717973722,0.151085681367493,0.370255917095116
"fig|6666666.77655.peg.1020",12.1191216209675,0.282444429752928,0.589443396173888,0.479171421015643,0.631816683705734,0.834983882999618
"fig|6666666.77655.peg.1021",45.1512144752178,0.444761530609407,0.39880258145095,1.11524235623362,0.264746579809481,0.524445212002806
"fig|6666666.77655.peg.1022",0.395058429433243,-0.18634157620112,0.367727043300752,-0.50673884229047,0.612338072872276,NA
"fig|6666666.77655.peg.1023",13.8763627197955,0.418796754401629,0.586386437681993,0.714199250680401,0.475103980170341,0.726547712533584
"fig|6666666.77655.peg.1024",30.9109888543716,-0.425414541703078,0.470753613898398,-0.903688318354354,0.366160695076608,0.631337594605954
"fig|6666666.77655.peg.1025",3024.75141801149,-0.404570948505731,0.182651397635629,-2.21498961268728,0.0267607774980099,0.110627780433385
"fig|6666666.77655.peg.1026",245.648544007978,-1.384409606633,0.246329101687065,-5.62016260828065,1.90777812365927e-08,5.14279543657398e-07
"fig|6666666.77655.peg.1027",41.7535227136411,0.238892148457761,0.411631649001819,0.58035418082419,0.561675796992023,0.789036941348272
"fig|6666666.77655.peg.1028",210.902393095984,0.391670735176408,0.254465261149939,1.53919137491079,0.123757582648224,0.32487985308806
"fig|6666666.77655.peg.1029",123.358636987072,-0.492000972635104,0.28869075890043,-1.70424912286436,0.0883345555034651,0.255229616477686
"fig|6666666.77655.peg.103",11.4127558487144,0.302880504586184,0.597013326556254,0.507326203810703,0.611925955515656,0.822089404328572
"fig|6666666.77655.peg.1030",86.226905115199,-0.846875964096449,0.320884485131195,-2.63919261708836,0.00831037483519738,0.0453567848394882
"fig|6666666.77655.peg.1031",1940.4901461943,0.077479327724366,0.206451838966093,0.375290082725254,0.707444740913166,0.873684338454589
"fig|6666666.77655.peg.1032",22.2329560278198,0.0062600758587438,0.49624993293841,0.0126147641404734,0.989935141395495,0.998726029154184
"fig|6666666.77655.peg.1033",66.4939585294733,-0.953051015371473,0.350489120935704,-2.71920284665928,0.00654394635053142,0.0370331230265966
"fig|6666666.77655.peg.1034",133.388408535749,0.179783801588021,0.277497587742752,0.647875187133827,0.517065680472248,0.75701257627716
"fig|6666666.77655.peg.1035",196.673651949447,-0.20262318715113,0.250199375142359,-0.809846895244404,0.418028176288914,0.682289477836138
"fig|6666666.77655.peg.1036",459.12066746861,0.433903495024602,0.219983963203578,1.97243239327886,0.0485602669755392,0.167918054217485
"fig|6666666.77655.peg.1037",36.334585587308,-0.925416250595068,0.430618873966282,-2.14903783030079,0.0316314012486349,0.124100035884707
"fig|6666666.77655.peg.1038",132.730617418371,0.306584740922225,0.289852849972563,1.05772546639181,0.290180621508571,0.554906802533934
"fig|6666666.77655.peg.1039",38.2222033968877,0.216977472612752,0.422380378348553,0.513701591586954,0.60746063903499,0.819205929026746
"fig|6666666.77655.peg.104",25.3168364326184,0.568627736638988,0.49308009222101,1.15321576678889,0.248821833569363,0.50306156190193
"fig|6666666.77655.peg.1040",161.117619159225,-0.553443908540618,0.291143021293593,-1.90093482605759,0.0573105497876143,0.187341001406583
"fig|6666666.77655.peg.1041",28.7950586720878,0.114777224931206,0.463351907879724,0.24771069888634,0.804358253306761,0.929875428332326
"fig|6666666.77655.peg.1042",151.480236662998,-1.16700374157954,0.273136068067477,-4.27260943542335,1.93198682268007e-05,0.000260402740024674
"fig|6666666.77655.peg.1043",268.026220443874,-0.0191191966727159,0.250884372508001,-0.0762072044647027,0.939254251025837,0.983588307151952
"fig|6666666.77655.peg.1044",147.865935025187,-0.690972267466849,0.273888599156339,-2.52282230657011,0.0116417211091428,0.0580234489475569
"fig|6666666.77655.peg.1045",67.926039677956,0.0410242817272985,0.342643465987992,0.119728772906868,0.904698006821695,0.9674472677798
"fig|6666666.77655.peg.1046",49.9448123875347,0.161455872706863,0.386944687137613,0.417258275081168,0.676489504364595,0.857844809024805
"fig|6666666.77655.peg.1047",55.2959831238046,0.35017448398768,0.376548277191763,0.929959065539286,0.352392279165078,0.617363692429664
"fig|6666666.77655.peg.1048",57.4104195834662,1.65828656482883,0.378614715245382,4.37987880041609,1.18745335209107e-05,0.000174090383256861
"fig|6666666.77655.peg.1049",211.509855364327,0.327752014445502,0.24981048666569,1.31200262575093,0.189519248605519,0.427655046133245
"fig|6666666.77655.peg.105",61.9032315134823,-0.123890154932268,0.363840915571177,-0.340506385154014,0.733475215113304,0.888305751312823
"fig|6666666.77655.peg.1050",6.20751563897849,1.00078486480413,0.666780105822494,1.50092190223586,0.1333757624896,0.340036770699027
"fig|6666666.77655.peg.1051",67.1378735357056,1.08361924177444,0.352769462841862,3.0717489916643,0.0021280859504592,0.0146568996642891
"fig|6666666.77655.peg.1052",14.0818710098327,1.25311621273413,0.574733207272738,2.18034419601488,0.0292319573101842,0.116881207299253
